#URL,Start,End,Total,Fetch URL,Make Qry,Add Readings,Commit,Sync State
dang@127.0.0.1,1335271629.55,1335271632.17,2.61892986298,0.00102996826172,0.957238912582,1.53069090843,2.51968502998,2.61892986298
dang@127.0.0.1,1335271632.17,1335271635.04,2.87543296814,0.00101494789124,1.17284202576,1.73889899254,2.78431892395,2.87543296814
dang@127.0.0.1,1335271635.04,1335271637.91,2.86790800095,0.00111389160156,1.16415286064,1.71685385704,2.76835989952,2.86790800095
dang@127.0.0.1,1335271637.91,1335271640.82,2.91015195847,0.0012378692627,1.16153097153,1.72754788399,2.7943007946,2.91015195847
dang@127.0.0.1,1335271642.32,1335271645.24,2.91844201088,0.000915050506592,1.23060202599,1.80566000938,2.81786608696,2.91844201088
dang@127.0.0.1,1335271645.24,1335271648.15,2.90875315666,0.00152897834778,1.15439105034,1.71714711189,2.80121612549,2.90875315666
dang@127.0.0.1,1335271648.15,1335271651.08,2.93484997749,0.00114798545837,1.14245915413,1.71591496468,2.8355910778,2.93484997749
dang@127.0.0.1,1335271651.08,1335271653.92,2.83364701271,0.00114703178406,1.11560511589,1.67264008522,2.73406410217,2.83364701271
dang@127.0.0.1,1335271655.59,1335271658.53,2.94126605988,0.00153994560242,1.17269992828,1.74490499496,2.7998650074,2.94126605988
dang@127.0.0.1,1335271658.53,1335271661.42,2.89435911179,0.00116205215454,1.11264395714,1.66305398941,2.78670096397,2.89435911179
dang@127.0.0.1,1335271661.42,1335271664.3,2.87540984154,0.00152683258057,1.1276049614,1.69292497635,2.75124502182,2.87540984154
dang@127.0.0.1,1335271664.3,1335271667.21,2.9093849659,0.00114583969116,1.11151099205,1.68654489517,2.78514790535,2.9093849659
dang@127.0.0.1,1335271668.91,1335271671.89,2.98181009293,0.0011191368103,1.16059303284,1.7254550457,2.8660171032,2.98181009293
dang@127.0.0.1,1335271671.89,1335271674.72,2.82587313652,0.0011579990387,1.09923696518,1.67092013359,2.70995903015,2.82587313652
