#URL,Start,End,Total,Num Nodes,Check,Sync
dang@127.0.0.1,1335271195.8,1335271196.64,0.835551023483,7,0.00434708595276,0.835551023483
dang@127.0.0.1,1335271203.97,1335271203.98,0.00630879402161,0,0.00630784034729,0.00630879402161
dang@127.0.0.1,1335271211.69,1335271211.7,0.00709414482117,0,0.00709295272827,0.00709414482117
dang@127.0.0.1,1335271220.02,1335271220.03,0.00871992111206,0,0.00871896743774,0.00871992111206
dang@127.0.0.1,1335271227.77,1335271227.77,0.0060179233551,0,0.00601696968079,0.0060179233551
dang@127.0.0.1,1335271235.46,1335271235.46,0.00602602958679,0,0.00602507591248,0.00602602958679
dang@127.0.0.1,1335271243.2,1335271243.2,0.00862002372742,0,0.0086190700531,0.00862002372742
dang@127.0.0.1,1335271250.94,1335271250.95,0.00980401039124,0,0.00980305671692,0.00980401039124
dang@127.0.0.1,1335271258.66,1335271258.66,0.00688099861145,0,0.00687980651855,0.00688099861145
dang@127.0.0.1,1335271265.87,1335271265.88,0.00687098503113,0,0.00687098503113,0.00687098503113
#URL,Start,End,Total,Num Nodes,Check,Sync
dang@127.0.0.1,1335271629.54,1335271629.55,0.00450706481934,0,0.00450587272644,0.00450706481934
dang@127.0.0.1,1335271642.31,1335271642.32,0.00670123100281,0,0.00670003890991,0.00670123100281
dang@127.0.0.1,1335271655.58,1335271655.59,0.00658822059631,0,0.00658702850342,0.00658822059631
dang@127.0.0.1,1335271668.9,1335271668.91,0.00747799873352,0,0.0074770450592,0.00747799873352
dang@127.0.0.1,1335271682.15,1335271682.15,0.00596809387207,0,0.00596714019775,0.00596809387207
dang@127.0.0.1,1335271694.9,1335271694.9,0.00836205482483,0,0.00836110115051,0.00836205482483
dang@127.0.0.1,1335271707.65,1335271707.66,0.00900387763977,0,0.00900292396545,0.00900387763977
dang@127.0.0.1,1335271720.47,1335271720.47,0.00690317153931,0,0.00690197944641,0.00690317153931
dang@127.0.0.1,1335271733.78,1335271733.79,0.00596404075623,0,0.00596308708191,0.00596404075623
dang@127.0.0.1,1335271746.59,1335271746.6,0.0065929889679,0,0.0065929889679,0.0065929889679
#URL,Start,End,Total,Num Nodes,Check,Sync
dang@127.0.0.1,1335271917.77,1335271917.77,0.00490617752075,0,0.00490498542786,0.00490617752075
dang@127.0.0.1,1335271990.67,1335271990.67,0.00559902191162,0,0.0055980682373,0.00559902191162
dang@127.0.0.1,1335272063.42,1335272063.42,0.00632190704346,0,0.00632095336914,0.00632190704346
dang@127.0.0.1,1335272135.51,1335272135.52,0.00642108917236,0,0.00642108917236,0.00642108917236
dang@127.0.0.1,1335272147.37,1335272147.38,0.00606894493103,0,0.00606799125671,0.00606894493103
dang@127.0.0.1,1335272149.15,1335272149.16,0.00697803497314,0,0.00697708129883,0.00697803497314
dang@127.0.0.1,1335272150.97,1335272150.98,0.00861382484436,0,0.00861287117004,0.00861382484436
dang@127.0.0.1,1335272152.73,1335272152.74,0.00961184501648,0,0.00961089134216,0.00961184501648
dang@127.0.0.1,1335272154.56,1335272154.57,0.00839400291443,0,0.00839281082153,0.00839400291443
dang@127.0.0.1,1335272156.29,1335272156.3,0.00759387016296,0,0.00759291648865,0.00759387016296
