#URL,Start,End,Total,Tunnel,Remote,Node,Reading
dang@127.0.0.1,1335271195.61,1335271202.78,7.17122602463,0.150618076324,0.193965911865,1.0855910778,6.90929603577
dang@127.0.0.1,1335271203.78,1335271210.51,6.72580099106,0.190299987793,0.190773963928,0.197376012802,6.45153999329
dang@127.0.0.1,1335271211.51,1335271218.79,7.28021287918,0.176437854767,0.176949977875,0.184337854385,6.75807881355
dang@127.0.0.1,1335271219.79,1335271226.6,6.80872416496,0.227555990219,0.228179216385,0.237241029739,6.60658502579
dang@127.0.0.1,1335271227.61,1335271234.29,6.68820619583,0.161751031876,0.162234067917,0.168548107147,6.4290831089
dang@127.0.0.1,1335271235.3,1335271241.97,6.67308592796,0.158087015152,0.158565998077,0.164837837219,6.55550289154
dang@127.0.0.1,1335271242.97,1335271249.78,6.81164908409,0.221445083618,0.222063064575,0.231033086777,6.51464295387
dang@127.0.0.1,1335271250.79,1335271257.46,6.66778302193,0.151420116425,0.152037143707,0.162326097488,6.38975000381
dang@127.0.0.1,1335271258.46,1335271264.67,6.20777583122,0.196289777756,0.196797847748,0.203981876373,6.18463397026
dang@127.0.0.1,1335271265.67,1335271272.89,7.22543907166,0.202272891998,0.202754020691,0.209920883179,6.83585309982
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
dang@127.0.0.1,1335271629.34,1335271641.12,11.781099081,0.159507036209,0.202167034149,0.206958055496,11.4805920124
dang@127.0.0.1,1335271642.12,1335271654.39,12.2684957981,0.188371896744,0.188848018646,0.195796966553,11.7927489281
dang@127.0.0.1,1335271655.39,1335271667.71,12.3178019524,0.184736967087,0.185236930847,0.192075967789,11.8137481213
dang@127.0.0.1,1335271668.72,1335271680.98,12.2651529312,0.188076972961,0.188584089279,0.196406126022,11.8141009808
dang@127.0.0.1,1335271681.98,1335271693.73,11.7425279617,0.16449713707,0.164978981018,0.171188116074,11.6043691635
dang@127.0.0.1,1335271694.73,1335271706.48,11.7560491562,0.166216135025,0.166809082031,0.175572156906,11.5252141953
dang@127.0.0.1,1335271707.49,1335271719.27,11.7861959934,0.166028022766,0.166513204575,0.175837993622,11.4235670567
dang@127.0.0.1,1335271720.28,1335271732.61,12.3344180584,0.190201997757,0.190697193146,0.197897195816,11.7758159637
dang@127.0.0.1,1335271733.61,1335271745.4,11.7881309986,0.167181968689,0.167662143707,0.173871994019,11.366451025
dang@127.0.0.1,1335271746.4,1335271758.21,11.8034760952,0.188169002533,0.188686132431,0.195578098297,11.4565169811
#URL,Start,End,Total,Tunnel,Remote,Node,Reading
dang@127.0.0.1,1335271917.55,1335271988.87,71.3223369122,0.172288894653,0.216364860535,0.221534967422,71.0715289116
dang@127.0.0.1,1335271989.88,1335272062.23,72.3480739594,0.791054010391,0.791523933411,0.797365903854,72.2290329933
dang@127.0.0.1,1335272063.23,1335272134.2,70.9748899937,0.18804192543,0.188556909561,0.195183038712,70.4983539581
dang@127.0.0.1,1335272135.2,1335272146.21,11.0053069592,0.307294845581,0.307961940765,0.31466794014,10.6844120026
dang@127.0.0.1,1335272147.21,1335272147.97,0.754559993744,0.161556005478,0.162080049515,0.168394088745,0.17228102684
dang@127.0.0.1,1335272148.97,1335272149.75,0.778021097183,0.178561925888,0.179609060287,0.186919927597,0.192331075668
dang@127.0.0.1,1335272150.75,1335272151.54,0.784816026688,0.21884393692,0.219461917877,0.228421926498,0.233010053635
dang@127.0.0.1,1335272152.54,1335272153.33,0.793926954269,0.193898916245,0.195269107819,0.205281972885,0.211810112
dang@127.0.0.1,1335272154.34,1335272155.12,0.787864923477,0.223529815674,0.224151849747,0.232892990112,0.238581895828
dang@127.0.0.1,1335272156.13,1335272156.89,0.759973049164,0.166058063507,0.166619062424,0.17450594902,0.178468942642
