time,x,xhat,dx
1316992175,1406.56,1592.1045,-0.488275
1316992475,1876.11,1605.84091375,0.2229594375
1316992775,1398.07,1595.66417953,-0.297025245469
1316993075,1349.12,1583.05479657,-0.912643131175
1316993376,1754.23,1590.74654577,-0.482423514769
1316993675,1875.61,1604.53141614,0.230941179604
1316993975,1642.83,1606.66573945,0.32611028631
1316994274,1528.45,1603.06475725,0.129755661965
1316994574,1463.01,1596.18528727,-0.220705620319
1316994875,1373.6,1584.84635256,-0.776617074437
1316995174,1414.56,1575.59424872,-1.20039141316
1316995476,1875.11,1589.42966444,-0.44860105642
1316995774,1448.02,1581.93301021,-0.801003714873
1316996074,1447.52,1574.45140617,-1.13503373112
1316996375,1452.52,1567.27655382,-1.43702466222
1316996674,1877.1,1581.4025527,-0.658873485112
1316996974,1588.39,1581.12599525,-0.639757683147
1316997275,1473.0,1575.11192569,-0.908473277073
1316997574,1876.11,1589.29877979,-0.153706908109
1316997874,1880.6,1603.71781924,0.574930409676
1316998174,1876.11,1617.88361217,1.25447353555
1316998475,1875.11,1631.93668142,1.89440332129
1316998774,1873.11,1645.7950305,2.49260060944
1316999075,1875.61,1659.65374956,3.06090653166
1316999374,1874.61,1673.30942328,3.59064489143
1316999674,1875.11,1686.81056477,4.08616972099
1316999974,1806.17,1696.66039776,4.37435288477
1317000274,1731.25,1702.54551312,4.44989100815
1317000574,1675.8,1705.43563392,4.37190249784
1317000874,1667.81,1707.70765959,4.2669086568
1317001174,1666.31,1709.69133984,4.15274723618
1317001474,1691.29,1712.71638272,4.09636201849
1317001776,1549.43,1708.4436075,3.67790515664
1317002074,1489.48,1700.98943703,3.12130137499
1317002374,1394.08,1688.60920148,2.34622452898
1317002674,1386.58,1675.73665471,1.58528596396
1317002974,1494.48,1668.17984364,1.12818111227
1317003273,1566.91,1664.18812351,0.872186050392
1317003574,1420.55,1652.83479409,0.260910276478
1317003874,1282.69,1634.57541915,-0.665103984431
1317004174,1169.3,1610.6797994,-1.82662977233
1317004474,1158.31,1586.32601115,-2.95298769641
1317004773,1087.88,1558.59837228,-4.19172025504
1317005073,1463.51,1549.86181942,-4.4189618851
1317005373,1383.09,1537.32521466,-4.82484402895
1317005673,1256.21,1518.6858521,-5.51556995553
1317005973,1223.24,1498.67376804,-6.2403956609
1317006273,1750.73,1505.34820376,-5.59465409184
1317006573,1169.3,1483.23087218,-6.42078796601
1317006873,1082.88,1457.11358001,-7.40561317655
1317007173,1137.33,1434.08906849,-8.18655809362
1317007473,1264.7,1417.84238488,-8.58956436961
1317007773,1186.28,1398.10417948,-9.14699642087
1317008075,1876.11,1413.31482391,-7.92911437852
1317008373,1610.37,1415.63492405,-7.41665365234
1317008673,1470.0,1411.30735688,-7.26219932834
1317008973,1473.5,1407.51789967,-7.08856222222
1317009273,1423.05,1401.56037058,-7.03201056584
1317009573,1315.65,1390.58444201,-7.22920646588
1317009873,1155.81,1371.97797377,-7.79806955474
1317010173,1129.34,1352.437909,-8.38516931528
1317010473,1119.85,1332.8426027,-8.9456761645
1317010773,1036.43,1309.52358021,-9.66434348084
1317011073,998.464,1284.78947489,-10.4178315727
1317011372,997.964,1260.55126116,-11.108850681
1317011673,1022.44,1238.09228995,-11.6763567072
1317011974,958.003,1212.99528658,-12.3473890403
1317012272,968.493,1189.04015266,-12.9277762841
1317012573,939.521,1164.28280756,-13.5192547251
1317012873,941.02,1140.27637519,-14.0436136072
1317013173,870.589,1113.45057351,-14.6827230111
1317013472,842.616,1085.96025797,-15.3231026374
1317013772,888.571,1061.53384757,-15.7782680257
1317014073,815.143,1034.22495057,-16.3547994746
1317014373,828.63,1008.40814354,-16.8278998523
1317014673,827.131,983.357781499,-17.2390229615
1317014972,808.15,958.220320611,-17.6339448579
1317015272,806.152,933.864656966,-17.9700307972
1317015572,797.161,909.95794486,-18.2668648627
1317015872,769.688,885.590925997,-18.5718725627
1317016172,791.666,863.251400763,-18.7602551962
1317016473,1037.43,854.138088288,-18.2779080602
1317016772,863.096,837.221971217,-18.2098185107
1317017072,854.105,820.766795071,-18.1220863925
1317017372,839.12,804.468473244,-18.0308981642
1317017674,845.613,789.396346326,-17.8829596019
1317017973,842.117,775.043567388,-17.7064505687
1317018272,1313.66,785.153260978,-16.3156433607
1317018573,1134.33,787.112236737,-15.4019124048
1317018872,1052.91,785.770308115,-14.6989132156
1317019173,1017.45,783.390325155,-14.0829667029
1317019472,975.486,779.616290529,-13.567520099
1317019773,1559.92,805.742331909,-11.5828420251
1317020072,1520.95,830.49901539,-9.76586574979
1317020372,1401.07,849.749992158,-8.31502362389
1317020672,1304.17,864.571720107,-7.15818604522
1317020971,1254.21,877.253357359,-6.16619488038
1317021271,1179.29,886.497304355,-5.39568778657
1317021573,1103.36,892.21453574,-4.84004182799
1317021871,1091.87,897.599269216,-4.32880306277
1317022173,1082.88,902.750942846,-3.85477922815
1317022472,1038.92,905.897355437,-3.5047196372
1317022771,1049.41,909.743504009,-3.1371762267
1317023072,1025.94,912.573011394,-2.83884204615
1317023372,1000.46,914.27046088,-2.61202746952
1317023671,1000.96,916.12351174,-2.38877355305
1317024271,1309.16,933.506001278,-1.40021039851
1317024571,1242.73,947.637001335,-0.623649875712
1317024871,1882.1,993.767683886,1.71406674564
1317025171,1621.35,1026.7751631,3.27873736906
1317025471,1460.01,1051.55170545,4.35362761788
1317025771,1294.17,1067.81856641,4.94928928522
1317026072,1264.7,1082.36446291,5.42911964598
1317026371,1477.5,1107.27890343,6.40338568959
1317026671,1874.61,1151.72867466,8.30570496679
1317026971,1702.78,1187.17166065,9.66256901772
1317027271,1532.44,1213.61451818,10.5015834436
1317027571,1096.37,1217.72879654,10.1822181895
1317027872,877.582,1210.394564,9.30639565265
1317028171,818.14,1199.62291167,8.30249325353
1317028471,753.703,1185.21428468,7.16693724122
1317028771,753.703,1170.44731082,6.07024168643
1317029071,732.724,1154.32787488,4.96075780517
1317029372,850.109,1143.82965105,4.18780872345
1317029671,1218.25,1151.52908679,4.36339007401
1317029971,1324.65,1164.33035302,4.78528388185
1317030270,1667.31,1194.02535506,6.0307697896
1317030571,1222.25,1201.1658186,6.08625447749
1317030871,1309.16,1212.34746943,6.34102429479
1317031171,1128.84,1214.19606903,6.11640306049
1317031472,923.038,1205.44874849,5.37321688025
1317031771,800.657,1190.3137171,4.34780446683
1317032073,789.168,1174.38684549,3.3340706629
1317032371,878.082,1162.73897035,2.58497337252
1317032670,891.568,1151.63614653,1.90058351323
1317032970,771.686,1134.44419354,0.945956688112
1317033271,700.255,1113.63339272,-0.141881187467
1317033570,653.801,1090.50698596,-1.2911074663
1317033870,676.778,1068.59398456,-2.32220216252
1317034170,646.308,1045.27359328,-3.37211161853
1317034470,673.282,1023.47050758,-4.29366032269
1317034770,654.3,1000.9330049,-5.20585244083
1317035070,634.32,977.656794831,-6.10937032197
1317035370,641.812,955.060653284,-6.93370888324
1317035670,657.297,933.585447181,-7.66078374424
1317035970,672.283,913.242580265,-8.29488790283
1317036270,673.781,893.389357744,-8.87280463374
1317036570,678.277,874.204575455,-9.38840351651
1317036870,670.285,855.089613341,-9.87473144636
1317037170,682.273,837.0677878,-10.2820861511
1317037471,692.763,820.084566566,-10.6171429052
1317037769,713.742,804.681152478,-10.8564564644
1317038070,686.769,788.471911213,-11.1240957044
1317038370,697.258,773.343324733,-11.3243202432
1317038670,703.752,759.105654266,-11.4699877544
1317038970,705.75,745.541383186,-11.5747019207
1317039270,729.227,733.729697202,-11.5865511238
1317039570,698.757,720.973838774,-11.645016489
1317039869,712.244,709.474581171,-11.6377285448
1317040170,698.757,697.882859995,-11.6354281763
1317040470,702.253,687.047710227,-11.5954142559
1317040770,691.764,676.267881173,-11.5546349958
1317041069,688.267,665.890933868,-11.4957506112
1317041370,704.251,656.887974094,-11.3711110694
1317041671,654.3,645.956019874,-11.3491532269
1317041970,670.285,636.390773314,-11.2599578936
1317042285,700.755,628.91202465,-11.0708974321
1317042570,712.244,622.561270857,-10.8348902502
1317042874,679.775,615.128811576,-10.6647687017
1317043170,703.252,609.403440731,-10.4177988089
1317043475,677.278,602.900259826,-10.2220679137
1317043771,692.263,597.657432317,-9.97310589344
1317044069,696.259,593.113060102,-9.7016692095
1317044369,710.745,589.778071348,-9.38333518673
1317044670,662.792,584.514599353,-9.17734202713
1317044969,691.764,581.15859446,-8.88627517045
1317045269,663.292,576.823303325,-8.65872596867
1317045570,684.771,573.994898488,-8.36720991206
1317045874,661.793,570.435954147,-8.1267966335
1317046169,626.328,565.510099638,-7.96674952729
